Das ist ein Magazin.[sound:oddcast-b6ca5d64-9f188a3a-ca2edc54-1f422b97-fa97a8ba.mp3],Esta é uma revista.[sound:oddcast-8ce4f2fd-e76c98d9-3e10f1c9-ed9bc0ae-af0dd45c.mp3],y
Entschuldigen Sie.[sound:oddcast-1bd42a0b-7aa89f61-3e84271f-b9e36857-c90b0f75.mp3],Com sua licença.[sound:oddcast-6ef9dc29-2cc912de-be5ad2ba-52e772c9-e77b5d9b.mp3],y
Vielen Dank.[sound:oddcast-84a1b465-cd8e4a79-b97818a0-f6d80aea-3232b8a0.mp3],Muito obrigado.[sound:oddcast-684a3812-2b6d7f6f-9a2317cd-d35bb83c-d0225ef6.mp3],y
Was ist das?[sound:oddcast-afdc9836-ecb95a7b-4b6541b5-b13ac586-31ff9648.mp3],O que é isto?[sound:oddcast-e80c2776-f4b7c3cf-75a35dfa-538fc59f-a88eea47.mp3],y
Das ist nicht wichtig.[sound:oddcast-87a2b074-0c1e32ce-0512e948-9a864c90-5887ad8a.mp3],Isto não é importante.[sound:oddcast-2dbc4f1e-050f493b-163b9229-553e8481-aaf440ce.mp3],y
Ich habe dieses Wort vergessen.[sound:oddcast-dc40f2d9-7e963787-bc69110d-b87a96b1-0852a50a.mp3],Eu esqueci esta palavra.[sound:oddcast-a52d62dc-e8e825e9-a6cef6bb-f2940b28-78caccef.mp3],y
Ich bin in einer Minute zurück.[sound:oddcast-c18ac7b1-c97e0286-c99fcafa-2e43f669-e792c965.mp3],Eu volto em um minuto.[sound:oddcast-b548f112-d7581244-a0e292cb-2b190e23-ae74cfec.mp3],y
Du bist dran.[sound:oddcast-2ff56cdc-e7aa76ea-53f73623-77b12d2d-bd13e663.mp3],Sua vez.[sound:oddcast-68f83f9b-83c951b5-0c059aed-123e0d9c-a9949338.mp3],y
Wie spreche ich das auf Deutsch?[sound:oddcast-edc6fa10-e1d3dfb1-105f2f18-6073f56d-32d349a9.mp3],Como falo isto em português?[sound:oddcast-52312268-2e3f0a8a-f3865422-e9c450c4-049aa613.mp3],y
Wie geht es Ihnen?[sound:oddcast-65bad447-ad46180a-2dd99109-232c08f7-62e84c8c.mp3],Como vai o senhor?[sound:oddcast-5bb54b73-bac28a2e-3762478b-e8c49ae9-bef2b003.mp3],y
Wie geht es dir?[sound:oddcast-1668c37a-8320df46-838b57b0-977423ab-99501998.mp3],Como vai você?[sound:oddcast-abdc5779-c6619cbe-7c76620d-59c1abf0-2b10415c.mp3],y
Ich verstehe nicht.[sound:oddcast-421525b0-c21bf304-ee06c3b6-662c6898-0694b45d.mp3],Eu não entendo.[sound:oddcast-71f79201-e0014ebd-952e2e80-9028c5bb-3f6dc26c.mp3],y
Ich verstehe nur ein bisschen.[sound:oddcast-1fc914b8-ff885dd1-27e34eff-7cc9823f-f0b2aef0.mp3],<div>Eu entendo apenas um pouco.[sound:oddcast-a39da360-96c7b850-a9982541-56212959-8202ecf1.mp3]</div>,y
Ich weiß nicht was das ist.[sound:oddcast-2d9da6fe-3fb7a4b5-91d3105e-1bed28cd-ee122a47.mp3],Eu não sei o que é isto.[sound:oddcast-e57b0320-717c8da8-0e347325-7d911628-5efa26af.mp3],y
Dies ist ein Foto.[sound:oddcast-d661cd41-87988b16-db9443e5-e69ec039-845d76a8.mp3],Esta é uma fotografia.[sound:oddcast-83100854-4868e55c-ff946a1b-26836db8-d1b3ef82.mp3],y
Ich heiße Sebastian.[sound:oddcast-717deab8-2ec6fc4f-819dbc22-456272e4-6301563e.mp3],Meu nome é Ricardo.[sound:oddcast-090ab23a-90509103-63d81209-a8c5fb45-281d88fa.mp3],y
