"Wir sehen einen Regenbogen aus Rot, Gelb, Orange, Grün, Hellblau, Dunkelblau und Violett.[sound:oddcast-45e80cb2-0a7a3620-ab6045be-52893c7a-362b7f62.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>","Vemos um arco-íris com as cores: vermelho, amarelo, laranja, verde, azul claro, azul escuro e violeta.[sound:oddcast-7f5ca726-07606cf9-b3516df3-c7f2d984-52ed41e0.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>",y
Auf der linken Seite sehen wir einen Baum.[sound:oddcast-b9de953b-e89173bd-c871d0d0-402d6579-2590e22f.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,Do lado esquerdo vemos uma árvore.[sound:oddcast-34aa54cb-26b718e3-44c95e8d-12167f2c-616c5525.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Der Baumstamm linke Seite ist braun.[sound:oddcast-e0f048fc-5f802c32-7eaecd59-af9dc578-4fd5a167.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O tronco da árvore do lado esquerdo é marrom.[sound:oddcast-815721ce-95f60483-4c1026ac-1084d1b6-e2ac8a8a.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Die Blätter am Baum sind grün.[sound:oddcast-7760ce5a-c58bda7f-ad30bf00-1554bc2d-218eb118.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,As folhas da árvore são verdes.[sound:oddcast-84ea2d54-6528adb5-7e00e172-76f8fd8c-1b3bc857.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Auf der linken Seite sehen wir einen Baum mit einem Vogelnest auf einem Ast.[sound:oddcast-f60c02d0-0a26da5b-eae331f5-b2269f53-6bd4e488.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,No lado esquerdo vemos uma árvore com um ninho de passarinhos sobre um galho.[sound:oddcast-8a30ddaf-94e2a3d8-3dff9c2c-70b9c1eb-8cc68944.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Der große Vogel steht auf dem Nest. Die Küken sind im Nest.[sound:oddcast-4261838e-3d33138e-f42cd42a-39cb5095-3abe81e0.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O pássaro grande está em pé sobre o ninho. Os filhotes estão dentro do ninho.[sound:oddcast-8179281c-6419eb1f-c196c5a6-5130e3ae-6af20ddc.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Es regnet jetzt.[sound:oddcast-cfbf4af6-f23d2ab8-5d72a68c-22d8207a-1a19e6d1.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,Está chovendo agora.[sound:oddcast-d01490a6-3b803f50-d3d70c30-c96233d5-d18e4180.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Der Himmel ist klar blau und hat fünf Regenwolken.[sound:oddcast-e7e74ec0-9c16fd80-febd90a3-6d0ae063-72c8b413.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O céu é azul claro e tem cinco nuvens de chuva.[sound:oddcast-fcd9e264-a92c10d1-23a9ce3d-e1b335ff-7741b06f.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Wir sehen elf Vögel am Himmel fliegen.[sound:oddcast-7bb430d1-2d8ce371-1b7834ad-1dff9891-dff3b5c1.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,Vemos onze pássaros voando no céu.[sound:oddcast-c05ce14f-b2dc1816-0bc00a96-fe0f8968-afc8d3db.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
"Der Junge linke Seite trägt ein grünes T-Shirt, graue Hosen und rote Turnschuhe.[sound:oddcast-070d4590-1432df5e-15b91b24-98bf8882-91e9dbf3.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>","O menino do lado esquerdo veste camiseta verde, calça cinza e tênis vermelho.[sound:oddcast-04ae588f-0967860a-9939816f-555cdf15-45f71fa8.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>",y
Der Junge linke Seite hat große Augen und braune Haare.[sound:oddcast-18214db6-fbd4201d-e1ea5092-a1e02b32-42c62162.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O menino do lado esquerdo tem olhos grandes e cabelos castanhos.[sound:oddcast-23fc650c-6e8cc826-811d161b-fec278a2-a4e692a0.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Die Ohren und Augen des Jungen auf der linken Seite sind groß.[sound:oddcast-a0a4e3bc-63658ef5-2c952ce9-d50363a8-97826ffb.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,As orelhas e os olhos do menino do lado esquerdo são grandes.[sound:oddcast-2b0d1251-394c40c7-917fc5bc-f87dfb83-52faef72.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Der Junge links hat einen kleinen Mund und eine kleine Nase.[sound:oddcast-5ae89c5d-269ffd0e-8de6795d-da27cc94-481ad9c6.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O menino do lado esquerdo tem boca e nariz pequenos.[sound:oddcast-8a56e46f-2e60c327-26cac968-c96a83fe-9245f22e.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Der Junge hat eine kleine Nase.[sound:oddcast-1a88ec49-89d46175-b3fe3de9-0438972e-ab57e440.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O menino tem um nariz pequeno.[sound:oddcast-3f1ecc7f-5cf261f2-5a5f4cff-19624b4a-592fd2d3.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Der Junge hat einen kleinen Mund.[sound:oddcast-7bc51dc3-b3dc4183-7a0ee490-452533b1-376d1615.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O menino tem uma boca pequena.[sound:oddcast-de16a53d-7870cf8c-29c4ef1c-91769a05-37868074.mp3]<br><br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Eine große Ente und drei Entenküken schwimmen im Flusswasser.[sound:oddcast-11069418-a0a5e1e3-f4d83bcd-0b28fdf0-6b0aff39.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,Um pato grande e tres patinhos nadam sobre a água do rio.[sound:oddcast-dac4e0e5-42cecf36-7603b37b-e11d56dd-c31db215.mp3]<br><br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Die Ente hat einen gelben Schnabel und einen grünen Kopf.[sound:oddcast-7d7102f7-9c36f56e-db201e19-c5ec3c82-4c538cd4.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O pato tem bico amarelo e cabeça verde.[sound:oddcast-cca2c768-27c370c3-d6434a89-3c511e47-a50caf08.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Der Körper der Ente ist braun und der Schnabel ist gelb.[sound:oddcast-cacd60be-8b20c466-e561fc56-c00fea4d-098dfdc9.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,O corpo do pato é marrom e o bico é amarelo.[sound:oddcast-77410a3f-ffaa46e3-f566fee5-bbb4ffea-d4d80045.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Entenküken sind gelb und schwimmen um die große Ente.[sound:oddcast-99c9876c-1abea026-0950e9ae-1ba79ffd-f3e17ba9.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,Os patinhos são amarelos e nadam ao redor do pato grande.[sound:oddcast-a4108d24-35467a80-7a6e53b7-ace29e76-f5847bdc.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
Wir sehen eine Kuh und ein Schaf auf dem Feld.[sound:oddcast-cb7ecd2d-25c42989-22d92160-938c7b0c-18c1843a.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,Vemos uma vaca e uma ovelha no campo.[sound:oddcast-79816fc5-d2311634-3f8fd341-0ce7d8d5-302cd39b.mp3]<br><img src='https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI'>,y
