"""O menino está de pé.[sound:oddcast-59177fcc-ebdfee67-144cbb96-ba33a823-a9a72f90.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""","""Der Junge steht.[sound:oddcast-aa3aaff2-cba0dcf4-3897fb75-da23c05d-eac0499e.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""",y,
"""O menino limpa o tapete.[sound:oddcast-85c6b4fd-b20603dc-3a70bafd-80d26a50-31ae3254.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""","""Der Junge putzt den Teppich.[sound:oddcast-1f3faa63-4caac049-0642e3a1-499a75b7-b127e4ff.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""",y,
"""O menino segura o tubo do aspirador de pó.[sound:oddcast-548a244b-0a4d0eb2-183c0a07-23075525-8c3df519.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""","""Der Junge hält den Schlauch des Staubsaugers.[sound:oddcast-09a64098-e8211de8-3c8ebb60-8c914466-80308751.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""",y,
"""O homem está sentado no sofá.[sound:oddcast-10a14f0b-05d6beb7-9ea35cb1-cd3533b2-b467d0cc.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""","""Der Mann sitzt auf der Sofa.[sound:oddcast-090375bd-488161ac-65f2ca9c-f8fbdd05-1c3e792a.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""",y,
"""O homem usa o telefone celular.[sound:oddcast-591e383d-4ae480ed-360a3384-52f02b65-451e5f2a.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""","""Der Mann benutzt das Handy.[sound:oddcast-67970a24-6f4eab4e-50e814a9-025b8c9c-9b42c59c.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""",y,
"""O homem navega na internet enquanto o menino trabalha.[sound:oddcast-2760b2c7-8897e265-1d8c630b-784e1103-52678dab.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""","""Der Mann surft im Internet, während der Junge arbeitet.[sound:oddcast-18423b25-4b80570c-930d29da-d44a5b59-41a032ce.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003b.png"""">""",y,
"""O menino est de p limpando o piso.[sound:oddcast-ce376a88-ddce5f15-b8b81133-2468c54d-4e607d67.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Der Junge steht und fegt den Fußboden.[sound:oddcast-2f5028cd-02eaeee8-3bafa345-13b6e042-1a7de9c5.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""O menino usa uma vassoura lilás.[sound:oddcast-3e802469-7e4295fa-1d64a071-9a97d462-08a9a48b.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Der Junge benutzt einen lila Besen.[sound:oddcast-c8d3b5cc-e92e37f6-11f248a0-5f8a7056-31f193af.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""O homem está sentado no sofá, abaixado, limpando o piso.[sound:oddcast-4dabab3a-b07a533c-fa65387c-3e97eb7d-5afaf9bf.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Der Mann sitzt auf der Sofa, bückt sich und putzt den Fußboden.[sound:oddcast-fa64cb56-2f9ac322-4e3d9e6e-498bb2ff-13d89e1d.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
"""O homem usa uma esponja rosa para limpar o piso.[sound:oddcast-79ec72c4-01f85d14-02db7293-d0319d27-a2935c41.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""","""Der Mann putzt den Boden mit einem rosa Schwamm.[sound:oddcast-f785eb3e-ef82aa6a-34abdb7f-f75a49b5-340f67da.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003c.png"""">""",y,
