Das ist ein Magazin.&nbsp;[sound:oddcast-b6ca5d64-9f188a3a-ca2edc54-1f422b97-fa97a8ba.mp3],Esta é uma revista.&nbsp;[sound:oddcast-5b81580d-ca089281-80fc2f62-3773902c-91572165.mp3],y,
Entschuldigen Sie.&nbsp;[sound:oddcast-1bd42a0b-7aa89f61-3e84271f-b9e36857-c90b0f75.mp3],Com sua licença.&nbsp;[sound:oddcast-6e6379b7-72837b91-f1b38965-be6a2a03-26fe4c65.mp3],y,
Vielen Dank.&nbsp;[sound:oddcast-84a1b465-cd8e4a79-b97818a0-f6d80aea-3232b8a0.mp3],Muito obrigado.&nbsp;[sound:oddcast-bdbda104-8c22d545-d7e3ef54-67d0f313-02943966.mp3],y,
Was ist das?&nbsp;[sound:oddcast-afdc9836-ecb95a7b-4b6541b5-b13ac586-31ff9648.mp3],O que é isto ? [sound:oddcast-e80c2776-f4b7c3cf-75a35dfa-538fc59f-a88eea47.mp3],y,
Das ist nicht wichtig.&nbsp;[sound:oddcast-87a2b074-0c1e32ce-0512e948-9a864c90-5887ad8a.mp3],Isto não é importante.&nbsp;[sound:oddcast-175c1eaa-8cc3a3ec-2f5b9157-864ab3d0-a2b62c1a.mp3],y,
"""Wir sehen einen Regenbogen aus Rot, Gelb, Orange, Grün, Hellblau, Dunkelblau und Violett.&nbsp;[sound:oddcast-45e80cb2-0a7a3620-ab6045be-52893c7a-362b7f62.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> ""","""Vemos um arco-íris com as cores: vermelho, amarelo, laranja, verde, azul claro, azul escuro e violeta.&nbsp;[sound:oddcast-dff5534a-1cd61eef-4d7dcdb0-1d77921e-d128f78a.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> """,y,
"""Auf der linken Seite sehen wir einen Baum.&nbsp;[sound:oddcast-b9de953b-e89173bd-c871d0d0-402d6579-2590e22f.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> ""","""Do lado esquerdo vemos uma árvore.&nbsp;[sound:oddcast-54640c7a-e662d22c-5f85dc26-a1b59e7a-da24f381.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> """,y,
"""Der Baumstamm linke Seite ist braun.&nbsp;[sound:oddcast-e0f048fc-5f802c32-7eaecd59-af9dc578-4fd5a167.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> ""","""O tronco da árvore do lado esquerdo é marrom.&nbsp;[sound:oddcast-815721ce-95f60483-4c1026ac-1084d1b6-e2ac8a8a.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> """,y,
"""Die Blätter auf der linken Seite des Baumes sind grün.&nbsp;[sound:oddcast-7841c607-bf0b887f-14ef046d-096dabf7-0273f91b.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> ""","""As folhas da árvore do lado esquerdo são verdes.&nbsp;[sound:oddcast-fe6e1aab-e0df16a6-2455379e-80551813-563546c5.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> """,y,
"""Der Baum linke Seite hat ein Nest mit Vögeln auf einem Ast.&nbsp;[sound:oddcast-737e122f-6800c369-d9bd2c25-c2425ef9-0fdca5cc.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> ""","""A árvore do lado esquerdo tem um ninho com passarinhos sobre um galho.&nbsp;[sound:oddcast-ed6c3a62-8648159f-059c0111-a6ac9c93-3c02c405.mp3] <br> <img src=""""https://raw.githubusercontent.com/frgomes/anki-decks/master/German_Portuguese/assets/Story-001.png?token=AAJTCXVM637FEUDIZDLY5ZC76I2JI""""> """,y,
